عدد;الرمز;اسم الشهادة بالعربية;المجال;nom certificat en français;مدة الدراسة;التخصصات;نوع البكالوريا;التنفيل الجغرافي;تتطلب اختبارات;لها شروط خاصة;المؤسسة;الجامعة;الولاية;صيغة مجموع النقاط;تفسير صيغة مجموع النقاط;الآفاق الجامعية;الآفاق المهنية;score2019;score2020;score2021;score2022;score2023;score2024;score2025
1;10101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية العلوم الإنسانية والاجتماعية بتونس;جامعة تونس;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;96.74;102.42;100.58;98.16;95.61;97.87;99.86
2;10101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية العلوم الإنسانية والاجتماعية بتونس;جامعة تونس;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;112.44;107.42;138.17;115.37;0;0;0
3;10101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية العلوم الإنسانية والاجتماعية بتونس;جامعة تونس;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;134.49;114.22;108.52;113.82;129.11;130.94;0
4;10101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية العلوم الإنسانية والاجتماعية بتونس;جامعة تونس;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;90.36;87.28;84.9;97.89;86.75;73.87;92.35
5;10101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية العلوم الإنسانية والاجتماعية بتونس;جامعة تونس;تونس;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;111.26;0;85.25;113.33;147.92;98.18;117.41
6;11101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;آداب;نعم;لا;لا;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;90.87;99.93;98.48;92.78;94.48;95.24;97.06
7;11101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;رياضيات;نعم;لا;لا;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;125.3;0;102.68;125.09;0;0;0
8;11101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم تجريبية;نعم;لا;لا;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;124.01;103.83;106.73;109.01;114.47;124.84;0
9;11101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;اقتصاد وتصرف;نعم;لا;لا;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;95.11;86.25;85.49;80.72;79.4;80.19;81.32
10;11101;الإجازة في العربية;الآداب واللغات والمراحل التحضيرية الأدبية;Licence en Arabe;03 سنوات;اللغة والآدب والحضارة;علوم الإعلامية;نعم;لا;لا;كلية الآداب والفنون والإنسانيات بمنوبة;جامعة منوبة;منوبة;FG+AR;الصيغة الإجمالية+العربية;ماجستير بحث;أستاذ عربية بالتعليم الإعدادي والثانوي+تدريس العربية لغير الناطقين بها;109.98;0;102.52;105.83;155.66;107.01;97.83
