الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
99.8685,97.875,95.6117,آداب,"جامعة تونسكلية العلوم الإنسانية  والإجتماعية  بتونس",الإجازة  في العربية10101
0,0,0,رياضيات,,
122.105,130.9413,129.1169,علوم تجريبية,,
92.3517,73.8752,86.7539,إقتصاد وتصرف,,
117.4165,98.1888,147.9275,علوم الإعلامية,,
104.785,115.4263,112.1467,آداب,"جامعة تونسكلية العلوم الإنسانية  والإجتماعية  بتونس",الإجازة  في الإنقليزية10102
136.07,110.4043,155.2196,رياضيات,,
124.25,151.817,142.7327,علوم تجريبية,,
81.2024,107.5939,91.4209,إقتصاد وتصرف,,
127.633,122.9663,118.555,العلوم التقنية,,
131.5298,115.9397,153.6574,علوم الإعلامية,,
147.625,143.5245,116.2662,رياضة,,
68.2249,76.2884,71.7734,آداب,"جامعة تونسكلية العلوم الإنسانية  والإجتماعية  بتونس",الإجازة  في الفرنسية10103
0,0,156.6159,رياضيات,,
122.0512,115.1036,147.3283,علوم تجريبية,,
82.26,79.237,80.3931,إقتصاد وتصرف,,
100.7692,102.9515,106.5471,العلوم التقنية,,
120.485,110.3652,154.8504,علوم الإعلامية,,
113.6502,108.5462,155.34,رياضة,,
85.2635,89.8317,78.3633,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",الإجازة  في الإسبانية10104
0,127.5066,102.2235,رياضيات,,
126.795,129.9569,128.4428,علوم تجريبية,,
103.8435,106.3848,95.6259,إقتصاد وتصرف,,
0,0,116.77,العلوم التقنية,,
96.357,0,133.2311,علوم الإعلامية,,
0,0,0,رياضة,,
الآداب  واللغات والمراحل التحضيرية الأدبية
الآداب  واللغات والمراحل التحضيرية الأدبية,,,,,
2025,2024,2023,الباكالوريا,المؤسسة/الجامعة,الشعبة
93.7267,100.0434,98.8912,آداب,"جامعة منوبةكلية الآداب  والفنون والإنسانيات  بمنوبة",الإجازة  في الإيطالية10105
0,0,0,رياضيات,,
121.485,134.2957,112.065,علوم تجريبية,,
